,date,ticker,pred_prob,x,y
226,2024-01-31,13543,0.59854287,69.2211,22.4399
227,2024-01-31,13548,0.5738334,69.19326,31.332174
228,2024-01-31,13559,0.43787062,-43.9593,23.542696
229,2024-01-31,13561,0.58828443,69.99028,17.507278
230,2024-01-31,13563,0.5797734,34.039116,-41.389294
231,2024-01-31,13577,0.5661318,59.237904,35.252636
232,2024-01-31,13579,0.52633935,15.2402935,-6.1179943
233,2024-01-31,13599,0.4341498,-22.301916,-59.23233
234,2024-01-31,13600,0.5470336,31.95921,-24.93046
235,2024-01-31,13604,0.56058127,47.15729,-1.1725494
236,2024-01-31,13610,0.49883065,5.9226246,-3.544487
237,2024-01-31,13621,0.4850108,-18.836733,41.44484
238,2024-01-31,13622,0.5898688,68.87546,28.47608
239,2024-01-31,13625,0.5502638,40.195038,9.020613
240,2024-01-31,13628,0.54389274,42.87953,3.095095
241,2024-01-31,13641,0.5475547,45.852406,-25.92869
242,2024-01-31,13652,0.4642122,-20.330463,2.959145
243,2024-01-31,13687,0.6132224,13.613082,-66.3527
244,2024-01-31,13688,0.4776405,2.6056194,-20.022863
245,2024-01-31,13693,0.42061695,-45.582138,-10.930611
246,2024-01-31,13694,0.5216932,0.048624646,-67.867096
247,2024-01-31,13704,0.5918629,0.029482294,-51.609257
248,2024-01-31,13712,0.48385283,-23.76784,30.244246
249,2024-01-31,13721,0.57611275,58.609776,35.44706
250,2024-01-31,13730,0.5739726,54.862953,-7.9525347
251,2024-01-31,13739,0.5693837,56.35011,3.5664215
252,2024-01-31,13743,0.49748433,2.0502098,-16.274809
253,2024-01-31,13748,0.5644988,64.8918,27.357807
254,2024-01-31,13757,0.5735119,49.297756,42.17925
255,2024-01-31,13766,0.5783758,60.916245,35.700348
256,2024-01-31,13769,0.48831284,-12.36552,32.327477
257,2024-01-31,13777,0.5571189,49.257027,54.467472
258,2024-01-31,13788,0.60959524,5.6691194,-77.00555
259,2024-01-31,13796,0.40081242,-57.367958,-20.022684
260,2024-01-31,13797,0.4855934,0.6003796,63.090385
261,2024-01-31,13798,0.53360915,22.359146,19.178802
262,2024-01-31,13802,0.6302905,44.47463,-38.44671
263,2024-01-31,13812,0.5037205,2.7247481,-7.6945057
264,2024-01-31,13816,0.5463013,38.840427,18.717552
265,2024-01-31,13825,0.49848124,15.587507,55.986275
266,2024-01-31,13828,0.47903696,-28.804873,19.571705
267,2024-01-31,13837,0.53841937,34.63506,1.0352001
268,2024-01-31,13844,0.5284442,30.861864,35.566532
269,2024-01-31,13856,0.5169447,7.4971504,-9.411169
270,2024-01-31,13860,0.57809967,11.555627,-66.46892
271,2024-01-31,13862,0.5781186,65.548256,25.426872
272,2024-01-31,13863,0.48544982,-5.5889325,1.1482087
273,2024-01-31,13870,0.38102272,-47.7801,-10.532114
274,2024-01-31,13877,0.6004084,70.30298,25.512121
275,2024-01-31,13878,0.53482354,-1.3182286,-69.80109
276,2024-01-31,13883,0.44238928,-41.092197,-17.673435
277,2024-01-31,13901,0.6062212,11.666941,-64.95493
278,2024-01-31,13904,0.5454072,43.071465,-24.608717
279,2024-01-31,13908,0.565884,68.884735,31.36655
280,2024-01-31,13911,0.5740371,7.9610744,-69.11692
281,2024-01-31,13918,0.5941267,60.353645,8.171821
282,2024-01-31,13919,0.5387893,63.80913,32.196957
283,2024-01-31,13921,0.5694284,49.786606,-0.34703368
284,2024-01-31,13928,0.5640618,46.34371,-25.18255
285,2024-01-31,13935,0.41506565,-49.005806,22.87586
286,2024-01-31,13936,0.629411,71.163025,25.844309
287,2024-01-31,13947,0.49196106,-13.350956,-44.836357
288,2024-01-31,13949,0.5166205,26.77796,57.234276
289,2024-01-31,13954,0.56649315,49.067245,31.570719
290,2024-01-31,13956,0.538861,0.23528987,-61.93984
291,2024-01-31,13959,0.48911777,-5.8485365,-59.57514
292,2024-01-31,13962,0.35923797,-54.019047,-12.0271435
293,2024-01-31,13963,0.545532,64.33036,36.190517
294,2024-01-31,13964,0.57327735,60.788445,34.59813
295,2024-01-31,13965,0.4014384,-42.07081,-1.952145
296,2024-01-31,13967,0.5198763,23.134132,32.994114
297,2024-01-31,13969,0.4549301,-25.062824,5.642716
298,2024-01-31,13976,0.48853007,-7.045994,35.96352
299,2024-01-31,13983,0.5589046,39.92332,7.344878
300,2024-01-31,14008,0.5120667,18.9103,50.594173
301,2024-01-31,14030,0.56009567,7.9220986,-54.43079
302,2024-01-31,14033,0.34879342,-64.109886,-11.619336
303,2024-01-31,14044,0.3941136,-48.372246,19.988495
304,2024-01-31,14045,0.6136188,71.3526,24.279865
305,2024-01-31,14051,0.34876975,-58.952763,-9.957766
306,2024-01-31,14056,0.4574505,-21.60573,-60.13556
307,2024-01-31,14060,0.35360748,-51.162582,-9.447119
308,2024-01-31,14072,0.61563945,64.006874,1.81057
309,2024-01-31,14076,0.5542188,12.826788,-56.233627
310,2024-01-31,14093,0.41057464,-40.918026,-1.6554279
311,2024-01-31,14097,0.58216614,8.0167055,-72.14172
312,2024-01-31,14102,0.5857499,70.292984,28.864605
313,2024-01-31,14107,0.33575633,-54.338657,-6.386339
314,2024-01-31,14127,0.42708698,-55.158306,11.346472
315,2024-01-31,14133,0.52703327,-3.1254857,-34.305325
316,2024-01-31,14135,0.32709157,-53.135033,-4.909116
317,2024-01-31,14136,0.55829364,47.583828,6.140569
318,2024-01-31,14137,0.48658776,-3.6151512,-1.0218526
319,2024-01-31,14141,0.50203943,5.1415324,8.006106
320,2024-01-31,14145,0.5490621,17.2176,-51.27307
321,2024-01-31,14158,0.38142022,-60.613358,-25.95973
322,2024-01-31,14166,0.5797512,49.531578,-2.7517245
323,2024-01-31,14169,0.62354285,6.6112113,-76.652565
324,2024-01-31,14172,0.28120458,-65.40711,-7.648045
325,2024-01-31,14179,0.5715313,38.201405,-5.8682137
326,2024-01-31,14182,0.54843324,64.72867,30.721989
327,2024-01-31,14185,0.5883239,39.75486,-32.745277
328,2024-01-31,14213,0.5836885,69.04765,29.1959
329,2024-01-31,14221,0.5774613,49.813488,-17.762177
330,2024-01-31,14229,0.5899816,50.970104,-0.83671916
331,2024-01-31,14231,0.5673272,45.335854,40.72811
332,2024-01-31,14239,0.60155696,69.98949,26.2587
333,2024-01-31,14245,0.49659097,5.5854597,68.25683
334,2024-01-31,14257,0.5045845,8.369594,65.108
335,2024-01-31,14258,0.5639373,43.337715,32.85169
336,2024-01-31,14263,0.5996871,11.865498,-74.91677
337,2024-01-31,14273,0.58574,64.90263,-19.635283
338,2024-01-31,14274,0.4067608,-45.64171,-24.997663
339,2024-01-31,14276,0.57034904,15.112425,-58.20889
340,2024-01-31,14296,0.4936707,-16.15637,22.961172
341,2024-01-31,14310,0.5287497,21.615185,37.985104
342,2024-01-31,14313,0.5123752,0.31887394,-18.471918
343,2024-01-31,14316,0.5359218,33.351406,7.525174
344,2024-01-31,14317,0.5521249,4.043602,-64.83475
345,2024-01-31,14318,0.5443111,37.30204,50.861755
346,2024-01-31,14325,0.57861805,23.504217,-55.202106
